Year,DayOfYear,Value
2001,65,64.23
2001,66,63.98
2001,67,63.93
2001,68,61.67
2001,69,64.98
2001,70,65.11
2001,71,60.79
2001,72,56.96
2001,73,60.4
2001,74,61.32
2001,75,66.79
2001,76,57.1
2001,77,61.73
2001,78,62.89
2001,79,59.71
2001,80,62.5
2001,81,64.57
2001,82,61.15
2001,83,61.64
2001,84,60.84
2001,85,57.67
2001,86,64.48
2001,87,61.15
2001,88,65.01
2001,89,60.4
2001,90,62.33
2001,91,65.96
2001,92,62.88
2001,93,63.76
2001,94,66.36
2001,95,58.95
2001,96,57.07
2001,97,59.27
2001,98,63.84
2001,99,57.75
2001,100,58.45
2001,101,62.06
2001,102,61.83
2001,103,65.11
2001,104,61.89
2001,105,62.96
2001,106,61.03
2001,107,60.26
2001,108,59.28
2001,109,60.43
2001,110,58.91
2001,111,62.35
2001,112,58.62
2001,113,66.87
2001,114,62.77
2001,115,63.54
2001,116,61.0
2001,117,60.81
2001,118,57.32
2001,119,60.01
2001,120,60.24
2001,121,64.83
2001,122,60.62
2001,123,56.46
2001,124,56.47
2001,125,59.94
2001,126,63.95
2001,127,58.84
2001,128,59.58
2001,129,63.65
2001,130,57.78
2001,131,63.27
2001,132,68.33
2001,133,66.41
2001,134,63.68
2001,135,60.6
2001,136,64.59
2001,137,59.83
2001,138,61.39
2001,139,61.26
2001,140,59.54
2001,141,60.43
2001,142,59.38
2001,143,63.0
2001,144,61.26
2001,145,63.11
2001,146,62.22
2001,147,64.21
2001,148,64.09
2001,149,63.16
2001,150,64.51
2001,151,61.07
2001,152,60.04
2001,153,58.23
2001,154,57.68
2001,155,59.57
2001,156,59.38
2001,157,61.01
2001,158,61.59
2001,159,63.93
2001,160,63.79
2001,161,64.04
2001,162,57.81
2001,163,61.87
2001,164,62.99
2001,165,63.05
2001,166,63.21
2001,167,68.7
2001,168,57.76
2001,169,62.33
2001,170,62.22
2001,171,58.72
2001,172,58.51
2001,173,59.88
2001,174,66.11
2001,175,62.02
2001,176,63.16
2001,177,66.47
2001,178,64.39
2001,179,61.45
2001,180,62.3
2001,181,61.67
2001,182,62.88
2001,183,61.37
2001,184,66.47
2001,185,64.57
2001,186,58.45
2001,187,60.92
2001,188,63.71
2001,189,58.53
2001,190,58.61
2001,191,59.35
2001,192,69.6
2001,193,63.96
2001,194,62.77
2001,195,58.47
2001,196,63.13
2001,197,61.45
2001,198,57.46
2001,199,60.01
2001,200,63.15
2001,201,65.28
2001,202,64.89
2001,203,63.84
2001,204,61.26
2001,205,54.5
2001,206,57.53
2001,207,62.97
2001,208,60.35
2001,209,60.98
2001,210,63.95
2001,211,59.83
2001,212,61.81
2001,213,62.75
2001,214,57.12
2001,215,62.27
2001,216,61.8
2001,217,61.87
2001,218,60.71
2001,219,61.36
2001,220,62.39
2001,221,68.84
2001,222,66.57
2001,223,63.95
2001,224,63.51
2001,225,62.5
2001,226,60.68
2001,227,63.26
2001,228,64.2
2001,229,63.54
2001,230,60.98
2001,231,59.76
2001,232,62.08
2001,233,65.63
2001,234,64.75
2001,235,67.81
2001,236,66.03
2001,237,61.95
2001,238,62.89
2001,239,62.91
2001,240,63.79
2001,241,63.77
2001,242,63.33
2001,243,63.4
2001,244,59.22
2001,245,60.1
2001,246,66.91
2001,247,62.61
2001,248,63.22
2001,249,67.31
2001,250,65.47
2001,251,60.6
2001,252,60.15
2001,253,61.01
2001,254,63.88
2001,255,59.85
2001,256,63.38
2001,257,65.92
2001,258,63.32
2001,259,56.08
2001,260,59.24
2001,261,64.83
2001,262,63.32
2001,263,60.46
2001,264,63.27
2001,265,69.21
2001,266,64.65
2001,267,62.61
2001,268,62.66
2001,269,57.48
2001,270,61.18
2001,271,60.63
2001,272,63.93
2001,273,59.71
2001,274,57.87
2001,275,60.1
2001,276,62.75
2001,277,62.68
2001,278,67.48
2001,279,65.0
2001,280,60.01
2001,281,57.56
2001,282,62.08
2001,283,65.66
2001,284,64.73
2001,285,65.31
2001,286,61.94
2001,287,64.29
2001,288,66.62
2001,289,64.18
2001,290,63.92
2001,291,63.44
2001,292,60.84
2001,293,63.38
2001,294,64.72
2001,295,63.62
2001,296,60.12
2001,297,63.1
2001,298,61.01
2001,299,66.91
2001,300,65.81
2001,301,63.41
2001,302,58.23
2001,303,61.2
2001,304,64.67
2001,305,62.77
2001,306,63.99
2001,307,62.3
2001,308,58.91
2001,309,62.16
2001,310,66.43
2001,311,63.79
2001,312,66.1
2001,313,61.37
2001,314,63.79
2001,315,60.81
2001,316,60.3
2001,317,63.3
2001,318,62.5
2001,319,61.28
2001,320,58.25
2001,321,58.83
2001,322,58.39
2001,323,60.96
2001,324,63.9
2001,325,67.73
2001,326,64.97
2001,327,61.69
2001,328,60.65
2001,329,65.17
2001,330,61.97
2001,331,63.46
2001,332,62.61
2001,333,61.91
2001,334,58.3
2001,335,60.78
2001,336,62.39
2001,337,61.75
2001,338,59.17
2001,339,58.86
2001,340,61.36
2001,341,61.22
2001,342,58.62
2001,343,60.62
2001,344,58.14
2001,345,59.74
2001,346,59.86
2001,347,58.94
2001,348,60.56
2001,349,61.34
2001,350,64.21
2001,351,58.86
2001,352,61.58
2001,353,63.71
2001,354,61.5
2002,15,64.42
2002,16,62.25
2002,17,64.64
2002,18,64.73
2002,19,65.03
2002,20,66.73
2002,21,63.43
2002,22,61.58
2002,23,60.96
2002,24,64.1
2002,25,62.08
2002,26,65.22
2002,27,66.58
2002,28,63.59
2002,29,65.83
2002,30,67.1
2002,31,64.39
2002,32,66.36
2002,33,58.59
2002,34,60.89
2002,35,62.35
2002,36,66.05
2002,37,67.82
2002,38,64.06
2002,39,62.85
2002,40,64.76
2002,41,63.71
2002,42,63.85
2002,43,62.13
2002,44,65.75
2002,45,65.91
2002,46,62.38
2002,47,57.24
2002,48,69.5
2002,49,66.22
2002,50,65.25
2002,51,61.54
2002,52,60.05
2002,53,60.89
2002,54,63.05
2002,55,60.56
2002,56,67.04
2002,57,62.68
2002,58,67.26
2002,59,61.69
2002,60,62.36
2002,61,64.18
2002,62,64.26
2002,63,64.34
2002,64,66.57
2002,65,66.46
2002,66,64.53
2002,67,63.38
2002,68,62.42
2002,69,67.35
2002,70,63.9
2002,71,66.4
2002,72,66.07
2002,73,56.32
2002,74,62.35
2002,75,65.34
2002,76,67.29
2002,77,65.2
2002,78,65.69
2002,79,65.01
2002,80,64.43
2002,81,67.37
2002,82,64.54
2002,83,63.24
2002,84,64.31
2002,85,67.48
2002,86,66.76
2002,87,65.52
2002,88,66.02
2002,89,67.27
2002,90,63.81
2002,91,65.16
2002,92,65.64
2002,93,64.2
2002,94,61.58
2002,95,68.84
2002,96,68.37
2002,97,62.66
2002,98,57.65
2002,99,63.27
2002,100,65.78
2002,101,64.57
2002,102,63.92
2002,103,64.7
2002,104,66.38
2002,105,60.32
2002,106,58.99
2002,107,60.18
2002,108,65.06
2002,109,66.84
2002,110,62.39
2002,111,63.32
2002,112,65.44
2002,113,60.23
2002,114,65.03
2002,115,66.84
2002,116,64.94
2002,117,65.17
2002,118,64.09
2002,119,63.44
2002,120,65.72
2002,121,63.93
2002,122,68.67
2002,123,67.97
2002,124,61.91
2002,125,64.89
2002,126,65.27
2002,127,60.81
2002,128,66.35
2002,129,65.63
2002,130,63.3
2002,131,64.06
2002,132,63.59
2002,133,67.51
2002,134,66.54
2002,135,63.88
2002,136,63.32
2002,137,63.77
2002,138,62.77
2002,139,65.55
2002,140,63.15
2002,141,66.29
2002,142,63.71
2002,143,60.78
2002,144,66.07
2002,145,64.68
2002,146,58.47
2002,147,61.11
2002,148,64.03
2002,149,63.96
2002,150,64.94
2002,151,62.28
2002,152,65.64
2002,153,66.24
2002,154,60.65
2002,155,66.76
2002,156,65.8
2002,157,64.18
2002,158,63.71
2002,159,66.57
2002,160,65.8
2002,161,69.55
2002,162,66.4
2002,163,65.03
2002,164,61.7
2002,165,57.98
2002,166,61.94
2002,167,62.41
2002,168,61.28
2002,169,62.8
2002,170,64.48
2002,171,67.86
2002,172,69.97
2002,173,65.45
2002,174,63.88
2002,175,65.72
2002,176,65.5
2002,177,64.34
2002,178,64.64
2002,179,61.78
2002,180,63.63
2002,181,66.9
2002,182,64.39
2002,183,60.27
2002,184,62.74
2002,185,63.3
2002,186,62.13
2002,187,63.57
2002,188,63.98
2002,189,62.97
2002,190,65.88
2002,191,65.38
2002,192,59.69
2002,193,62.03
2002,194,63.52
2002,195,63.21
2002,196,63.6
2002,197,66.68
2002,198,64.06
2002,199,65.31
2002,200,64.84
2002,201,65.49
2002,202,64.31
2002,203,64.68
2002,204,62.39
2002,205,61.7
2002,206,62.24
2002,207,63.51
2002,208,64.54
2002,209,68.69
2002,210,64.98
2002,211,66.18
2002,212,63.37
2002,213,65.89
2002,214,67.89
2002,215,63.18
2002,216,61.83
2002,217,62.36
2002,218,68.99
2002,219,67.59
2002,220,66.76
2002,221,63.38
2002,222,65.85
2002,223,62.77
2002,224,62.27
2002,225,63.08
2002,226,65.25
2002,227,64.72
2002,228,65.2
2002,229,64.54
2002,230,60.54
2002,231,61.51
2002,232,62.27
2002,233,59.86
2002,234,58.64
2002,235,64.98
2002,236,62.83
2002,237,63.04
2002,238,63.99
2002,239,64.67
2002,240,65.23
2002,241,66.63
2002,242,66.54
2002,243,65.16
2002,244,64.14
2002,245,61.89
2002,246,61.25
2002,247,64.4
2002,248,60.35
2002,249,64.95
2002,250,64.18
2002,251,62.05
2002,252,62.08
2002,253,60.07
2002,254,62.3
2002,255,62.22
2002,256,63.93
2002,257,64.01
2002,258,61.91
2002,259,61.09
2002,260,61.58
2002,261,60.54
2002,262,63.76
2002,263,67.32
2002,264,64.62
2002,265,66.25
2002,266,62.58
2002,267,60.65
2002,268,65.09
2002,269,65.72
2002,270,62.5
2002,271,64.64
2002,272,63.96
2002,273,62.61
2002,274,65.19
2002,275,67.2
2002,276,63.95
2002,277,67.87
2002,278,66.88
2002,279,65.06
2002,280,63.32
2002,281,67.2
2002,282,70.85
2002,283,65.77
2002,284,58.72
2002,285,60.57
2002,286,63.73
2002,287,58.33
2002,288,61.54
2002,289,59.77
2002,290,67.4
2002,291,64.51
2002,292,66.05
2002,293,66.52
2002,294,62.82
2002,295,62.93
2002,296,65.05
2002,297,64.09
2002,298,62.3
2002,299,62.25
2002,300,69.55
2002,301,66.93
2002,302,68.36
2002,303,66.58
2002,304,58.33
2002,305,61.01
2002,306,63.96
2002,307,62.69
2002,308,66.6
2002,309,65.55
2002,310,63.65
2002,311,67.38
2002,312,67.84
2002,313,62.39
2002,314,66.87
2002,315,68.47
2002,316,67.18
2002,317,65.34
2002,318,64.75
2002,319,67.15
2002,320,66.18
2002,321,67.01
2002,322,65.06
2002,323,64.95
2002,324,70.35
2002,325,68.72
2002,326,68.56
2002,327,63.77
2002,328,65.74
2002,329,65.81
2002,330,62.2
2002,331,64.03
2002,332,65.64
2002,333,63.65
2002,334,59.06
2002,335,65.23
2002,336,62.5
2002,337,63.65
2002,338,64.15
2002,339,61.09
2002,340,65.91
2002,341,66.76
2002,342,65.47
2002,343,62.83
2002,344,66.85
2002,345,60.45
2002,346,63.13
2002,347,66.87
2002,348,65.63
2002,349,62.03
2002,350,66.41
2002,351,63.74
2002,352,67.1
2002,353,57.6
2002,354,64.57
2003,18,61.65
2003,19,63.35
2003,20,67.01
2003,21,63.0
2003,22,64.83
2003,23,64.12
2003,24,64.46
2003,25,65.17
2003,26,65.27
2003,27,65.42
2003,28,63.7
2003,29,64.95
2003,30,61.75
2003,31,67.54
2003,32,68.37
2003,33,66.71
2003,34,64.34
2003,35,59.24
2003,36,63.3
2003,37,69.5
2003,38,63.24
2003,39,63.15
2003,40,66.11
2003,41,65.92
2003,42,61.7
2003,43,63.08
2003,44,64.78
2003,45,66.96
2003,46,67.67
2003,47,64.7
2003,48,63.65
2003,49,65.36
2003,50,64.64
2003,51,62.58
2003,52,62.53
2003,53,61.06
2003,54,66.4
2003,55,65.77
2003,56,67.34
2003,57,64.64
2003,58,64.04
2003,59,61.8
2003,60,63.84
2003,61,64.26
2003,62,65.81
2003,63,64.26
2003,64,62.41
2003,65,66.46
2003,66,68.64
2003,67,66.79
2003,68,67.97
2003,69,63.02
2003,70,62.36
2003,71,66.49
2003,72,63.74
2003,73,62.28
2003,74,60.26
2003,75,62.61
2003,76,60.62
2003,77,62.05
2003,78,65.83
2003,79,61.67
2003,80,62.86
2003,81,63.74
2003,82,63.02
2003,83,65.7
2003,84,65.61
2003,85,65.44
2003,86,64.53
2003,87,65.11
2003,88,68.3
2003,89,60.49
2003,90,63.99
2003,91,66.79
2003,92,61.8
2003,93,63.48
2003,94,66.24
2003,95,62.99
2003,96,64.29
2003,97,65.44
2003,98,62.57
2003,99,66.82
2003,100,68.7
2003,101,64.78
2003,102,60.6
2003,103,61.43
2003,104,63.92
2003,105,63.15
2003,106,62.64
2003,107,61.64
2003,108,62.14
2003,109,63.22
2003,110,66.46
2003,111,64.7
2003,112,63.98
2003,113,64.64
2003,114,66.27
2003,115,64.21
2003,116,63.46
2003,117,64.21
2003,118,63.37
2003,119,61.15
2003,120,65.83
2003,121,65.16
2003,122,65.78
2003,123,62.58
2003,124,62.0
2003,125,62.55
2003,126,61.09
2003,127,60.23
2003,128,60.92
2003,129,65.64
2003,130,65.06
2003,131,62.25
2003,132,64.23
2003,133,61.7
2003,134,65.78
2003,135,60.57
2003,136,69.22
2003,137,65.88
2003,138,64.21
2003,139,63.15
2003,140,63.13
2003,141,61.78
2003,142,63.74
2003,143,62.96
2003,144,67.98
2003,145,67.16
2003,146,60.13
2003,147,61.67
2003,148,64.09
2003,149,63.62
2003,150,63.52
2003,151,63.73
2003,152,64.64
2003,153,65.36
2003,154,66.05
2003,155,55.96
2003,156,63.99
2003,157,65.33
2003,158,65.28
2003,159,64.95
2003,160,66.66
2003,161,61.29
2003,162,61.39
2003,163,64.97
2003,164,66.07
2003,165,65.75
2003,166,66.82
2003,167,63.82
2003,168,62.24
2003,169,60.57
2003,170,60.65
2003,171,62.55
2003,172,60.52
2003,173,66.95
2003,174,65.86
2003,175,64.45
2003,176,63.88
2003,177,65.31
2003,178,64.28
2003,179,62.49
2003,180,64.62
2003,181,60.1
2003,182,63.85
2003,183,63.27
2003,184,61.29
2003,185,62.22
2003,186,60.67
2003,187,61.84
2003,188,61.81
2003,189,59.65
2003,190,61.83
2003,191,64.75
2003,192,63.22
2003,193,64.17
2003,194,63.93
2003,195,68.19
2003,196,64.84
2003,197,65.25
2003,198,68.15
2003,199,65.27
2003,200,62.36
2003,201,68.06
2003,202,65.64
2003,203,67.4
2003,204,67.4
2003,205,58.61
2003,206,62.17
2003,207,62.19
2003,208,62.35
2003,209,64.18
2003,210,66.99
2003,211,66.57
2003,212,64.68
2003,213,67.1
2003,214,63.49
2003,215,66.22
2003,216,64.46
2003,217,68.3
2003,218,64.7
2003,219,62.89
2003,220,66.69
2003,221,66.73
2003,222,69.36
2003,223,68.25
2003,224,64.53
2003,225,67.04
2003,226,64.94
2003,227,65.99
2003,228,69.54
2003,229,64.83
2003,230,60.51
2003,231,65.77
2003,232,63.35
2003,233,65.53
2003,234,68.5
2003,235,66.68
2003,236,64.5
2003,237,60.9
2003,238,58.59
2003,239,67.64
2003,240,63.95
2003,241,65.39
2003,242,65.27
2003,243,66.22
2003,244,62.46
2003,245,62.96
2003,246,63.32
2003,247,66.51
2003,248,64.5
2003,249,61.34
2003,250,61.28
2003,251,67.53
2003,252,64.89
2003,253,65.33
2003,254,64.2
2003,255,63.05
2003,256,62.66
2003,257,63.15
2003,258,68.56
2003,259,67.32
2003,260,69.47
2003,261,68.41
2003,262,63.05
2003,263,66.71
2003,264,63.98
2003,265,65.55
2003,266,64.56
2003,267,64.18
2003,268,61.5
2003,269,62.08
2003,270,64.51
2003,271,64.84
2003,272,64.48
2003,273,61.83
2003,274,64.64
2003,275,66.82
2003,276,62.69
2003,277,61.98
2003,278,66.11
2003,279,66.27
2003,280,66.16
2003,281,63.48
2003,282,61.98
2003,283,63.08
2003,284,70.56
2003,285,64.4
2003,286,67.86
2003,287,65.06
2003,288,66.14
2003,289,67.54
2003,290,68.66
2003,291,64.72
2003,292,64.87
2003,293,66.43
2003,294,64.78
2003,295,66.24
2003,296,66.02
2003,297,66.9
2003,298,60.01
2003,299,62.78
2003,300,64.01
2003,301,59.74
2003,302,66.51
2003,303,63.88
2003,304,63.19
2003,305,65.56
2003,306,69.38
2003,307,64.61
2003,308,65.03
2003,309,70.29
2003,310,65.67
2003,311,66.02
2003,312,62.11
2003,313,61.4
2003,314,58.94
2003,315,63.4
2003,316,67.4
2003,317,66.98
2003,318,62.25
2003,319,62.99
2003,320,65.25
2003,321,62.55
2003,322,69.19
2003,323,65.66
2003,324,65.11
2003,325,66.84
2003,326,65.52
2003,327,63.99
2003,328,65.0
2003,329,65.16
2003,330,65.99
2003,331,66.58
2003,332,66.91
2003,333,66.18
2003,334,63.1
2003,335,62.35
2003,336,61.8
2003,337,62.93
2003,338,63.33
2003,339,62.64
2003,340,64.29
2003,341,66.85
2003,342,68.77
2003,343,66.1
2003,344,65.05
2003,345,62.36
2003,346,59.74
2003,347,64.4
2003,348,63.82
2003,349,65.17
2003,350,63.55
2003,351,60.71
2003,352,60.43
2003,353,63.38
2003,354,62.86
2004,18,61.61
2004,19,60.82
2004,20,59.69
2004,21,60.15
2004,22,57.87
2004,23,64.87
2004,24,67.12
2004,25,64.18
2004,26,61.61
2004,27,62.47
2004,28,62.74
2004,29,61.62
2004,30,62.16
2004,31,62.97
2004,32,58.55
2004,33,62.6
2004,34,63.6
2004,35,63.1
2004,36,62.39
2004,37,62.19
2004,38,61.75
2004,39,61.8
2004,40,63.52
2004,41,63.15
2004,42,65.59
2004,43,62.08
2004,44,64.2
2004,45,63.54
2004,46,60.63
2004,47,63.85
2004,48,61.62
2004,49,63.68
2004,50,61.87
2004,51,59.66
2004,52,58.09
2004,53,62.44
2004,54,62.94
2004,55,62.22
2004,56,62.06
2004,57,64.34
2004,58,64.89
2004,59,62.6
2004,60,60.65
2004,61,61.56
2004,62,63.81
2004,63,62.08
2004,64,59.33
2004,65,62.57
2004,66,63.82
2004,67,63.38
2004,68,62.22
2004,69,59.66
2004,70,62.41
2004,71,62.46
2004,72,63.48
2004,73,59.02
2004,74,58.31
2004,75,60.9
2004,76,61.22
2004,77,59.74
2004,78,61.51
2004,79,65.19
2004,80,59.05
2004,81,62.09
2004,82,64.59
2004,83,63.05
2004,84,60.15
2004,85,63.9
2004,86,60.98
2004,87,58.8
2004,88,64.09
2004,89,62.47
2004,90,66.71
2004,91,65.41
2004,92,64.32
2004,93,63.37
2004,94,61.75
2004,95,65.09
2004,96,58.55
2004,97,58.09
2004,98,61.25
2004,99,61.56
2004,100,61.31
2004,101,63.33
2004,102,59.99
2004,103,61.06
2004,104,63.96
2004,105,63.92
2004,106,62.36
2004,107,62.72
2004,108,58.34
2004,109,59.49
2004,110,61.28
2004,111,64.01
2004,112,63.1
2004,113,60.51
2004,114,62.44
2004,115,62.88
2004,116,60.35
2004,117,62.24
2004,118,64.57
2004,119,60.74
2004,120,60.4
2004,121,59.61
2004,122,57.43
2004,123,56.68
2004,124,58.48
2004,125,56.3
2004,126,59.41
2004,127,60.76
2004,128,62.09
2004,129,63.26
2004,130,63.63
2004,131,59.0
2004,132,60.04
2004,133,58.19
2004,134,63.65
2004,135,67.31
2004,136,65.5
2004,137,66.33
2004,138,62.74
2004,139,62.96
2004,140,62.49
2004,141,59.91
2004,142,57.71
2004,143,60.51
2004,144,60.02
2004,145,63.1
2004,146,59.1
2004,147,61.48
2004,148,61.7
2004,149,61.53
2004,150,60.32
2004,151,59.24
2004,152,59.05
2004,153,60.12
2004,154,64.46
2004,155,64.95
2004,156,66.99
2004,157,61.01
2004,158,62.03
2004,159,60.49
2004,160,60.3
2004,161,62.57
2004,162,65.61
2004,163,58.01
2004,164,58.36
2004,165,59.3
2004,166,58.09
2004,167,56.46
2004,168,58.44
2004,169,64.62
2004,170,63.82
2004,171,62.55
2004,172,58.2
2004,173,60.18
2004,174,61.32
2004,175,60.67
2004,176,57.81
2004,177,60.1
2004,178,61.03
2004,179,61.04
2004,180,63.0
2004,181,64.23
2004,182,61.4
2004,183,58.81
2004,184,58.42
2004,185,59.57
2004,186,60.73
2004,187,63.15
2004,188,62.99
2004,189,62.31
2004,190,61.72
2004,191,62.83
2004,192,62.05
2004,193,61.09
2004,194,58.88
2004,195,64.76
2004,196,61.07
2004,197,65.64
2004,198,68.8
2004,199,62.47
2004,200,63.99
2004,201,64.26
2004,202,61.56
2004,203,66.02
2004,204,64.98
2004,205,60.87
2004,206,60.38
2004,207,63.27
2004,208,62.6
2004,209,64.92
2004,210,61.12
2004,211,61.61
