Year,DayOfYear,Date,Value
2000,187,2000-07-05,63.79
2000,188,2000-07-06,65.63
2000,189,2000-07-07,67.73
2000,190,2000-07-08,64.57
2000,191,2000-07-09,62.39
2000,192,2000-07-10,62.8
2000,193,2000-07-11,64.48
2000,194,2000-07-12,67.24
2000,195,2000-07-13,64.98
2000,196,2000-07-14,58.0
2000,197,2000-07-15,63.68
2000,198,2000-07-16,68.5
2000,199,2000-07-17,64.67
2000,200,2000-07-18,62.77
2000,201,2000-07-19,61.51
2000,202,2000-07-20,64.57
2000,203,2000-07-21,64.04
2000,204,2000-07-22,62.16
2000,205,2000-07-23,63.93
2000,206,2000-07-24,64.76
2000,207,2000-07-25,61.83
2000,208,2000-07-26,63.63
2000,209,2000-07-27,62.83
2000,210,2000-07-28,63.6
2000,211,2000-07-29,64.46
2000,212,2000-07-30,65.52
2000,213,2000-07-31,63.05
2000,214,2000-08-01,63.02
2000,215,2000-08-02,66.57
2000,216,2000-08-03,67.13
2000,217,2000-08-04,62.47
2000,218,2000-08-05,64.62
2000,219,2000-08-06,65.0
2000,220,2000-08-07,65.34
2000,221,2000-08-08,66.71
2000,222,2000-08-09,62.06
2000,223,2000-08-10,60.93
2000,224,2000-08-11,66.05
2000,225,2000-08-12,65.0
2000,226,2000-08-13,67.13
2000,227,2000-08-14,65.17
2000,228,2000-08-15,65.09
2000,229,2000-08-16,63.81
2000,230,2000-08-17,64.75
2000,231,2000-08-18,64.35
2000,232,2000-08-19,60.46
2000,233,2000-08-20,61.47
2000,234,2000-08-21,68.04
2000,235,2000-08-22,66.25
2000,236,2000-08-23,64.43
2000,237,2000-08-24,63.82
2000,238,2000-08-25,59.91
2000,239,2000-08-26,67.37
2000,240,2000-08-27,69.25
2000,241,2000-08-28,67.56
2000,242,2000-08-29,67.86
2000,243,2000-08-30,66.88
2000,244,2000-08-31,65.47
2000,245,2000-09-01,67.7
2000,246,2000-09-02,65.55
2000,247,2000-09-03,62.25
2000,248,2000-09-04,68.23
2000,249,2000-09-05,67.49
2000,250,2000-09-06,65.47
2000,251,2000-09-07,63.84
2000,252,2000-09-08,61.84
2000,253,2000-09-09,64.4
2000,254,2000-09-10,65.31
2000,255,2000-09-11,67.23
2000,256,2000-09-12,63.82
2000,257,2000-09-13,63.46
2000,258,2000-09-14,63.16
2000,259,2000-09-15,65.69
2000,260,2000-09-16,65.36
2000,261,2000-09-17,66.02
2000,262,2000-09-18,65.16
2000,263,2000-09-19,62.49
2000,264,2000-09-20,58.0
2000,265,2000-09-21,63.33
2000,266,2000-09-22,63.57
2000,267,2000-09-23,64.29
2000,268,2000-09-24,66.13
2000,269,2000-09-25,62.64
2000,270,2000-09-26,65.17
2000,271,2000-09-27,64.35
2000,272,2000-09-28,60.52
2000,273,2000-09-29,65.36
2000,274,2000-09-30,64.43
2000,275,2000-10-01,62.75
2000,276,2000-10-02,62.71
2000,277,2000-10-03,65.17
2000,278,2000-10-04,62.88
2000,279,2000-10-05,66.69
2000,280,2000-10-06,68.31
2000,281,2000-10-07,63.68
2000,282,2000-10-08,59.65
2000,283,2000-10-09,60.93
2000,284,2000-10-10,61.98
2000,285,2000-10-11,62.3
2000,286,2000-10-12,66.65
2000,287,2000-10-13,65.47
2000,288,2000-10-14,66.38
2000,289,2000-10-15,64.31
2000,290,2000-10-16,65.36
2000,291,2000-10-17,64.31
2000,292,2000-10-18,65.99
2000,293,2000-10-19,65.92
2000,294,2000-10-20,66.07
2000,295,2000-10-21,64.57
2000,296,2000-10-22,60.41
2000,297,2000-10-23,62.82
2000,298,2000-10-24,62.77
2000,299,2000-10-25,65.75
2000,300,2000-10-26,65.66
2000,301,2000-10-27,64.53
2000,302,2000-10-28,64.95
2000,303,2000-10-29,67.6
2000,304,2000-10-30,63.26
2000,305,2000-10-31,66.57
2000,306,2000-11-01,65.2
2000,307,2000-11-02,64.39
2000,308,2000-11-03,68.66
2000,309,2000-11-04,67.65
2000,310,2000-11-05,66.6
2000,311,2000-11-06,66.73
2000,312,2000-11-07,65.33
2000,313,2000-11-08,68.59
2000,314,2000-11-09,64.95
2000,315,2000-11-10,62.85
2000,316,2000-11-11,63.4
2000,317,2000-11-12,64.97
2000,318,2000-11-13,61.81
2000,319,2000-11-14,64.72
2000,320,2000-11-15,65.03
2000,321,2000-11-16,66.71
2000,322,2000-11-17,65.17
2000,323,2000-11-18,65.23
2000,324,2000-11-19,64.45
2000,325,2000-11-20,62.99
2000,326,2000-11-21,66.3
2000,327,2000-11-22,66.08
2000,328,2000-11-23,63.55
2000,329,2000-11-24,65.3
2000,330,2000-11-25,63.55
2000,331,2000-11-26,65.3
2000,332,2000-11-27,64.18
2000,333,2000-11-28,64.62
2000,334,2000-11-29,68.7
2000,335,2000-11-30,64.21
2000,336,2000-12-01,64.4
2000,337,2000-12-02,69.58
2000,338,2000-12-03,66.9
2000,339,2000-12-04,59.5
2000,340,2000-12-05,64.24
2000,341,2000-12-06,61.5
2000,342,2000-12-07,62.42
2000,343,2000-12-08,63.84
2000,344,2000-12-09,63.7
2000,345,2000-12-10,67.51
2000,346,2000-12-11,63.33
2000,347,2000-12-12,64.51
2000,348,2000-12-13,67.56
2000,349,2000-12-14,65.36
2000,350,2000-12-15,62.09
2000,351,2000-12-16,60.43
2000,352,2000-12-17,60.65
2000,353,2000-12-18,62.28
2000,354,2000-12-19,68.58
2001,15,2001-01-15,66.57
2001,16,2001-01-16,64.06
2001,17,2001-01-17,58.42
2001,18,2001-01-18,62.88
2001,19,2001-01-19,59.25
2001,20,2001-01-20,62.19
2001,21,2001-01-21,64.9
2001,22,2001-01-22,61.62
2001,23,2001-01-23,64.67
2001,24,2001-01-24,66.27
2001,25,2001-01-25,64.54
2001,26,2001-01-26,63.55
2001,27,2001-01-27,60.04
2001,28,2001-01-28,58.0
2001,29,2001-01-29,58.11
2001,30,2001-01-30,61.31
2001,31,2001-01-31,59.88
2001,32,2001-02-01,61.11
2001,33,2001-02-02,62.66
2001,34,2001-02-03,63.04
2001,35,2001-02-04,61.98
2001,36,2001-02-05,61.01
2001,37,2001-02-06,60.65
2001,38,2001-02-07,60.71
2001,39,2001-02-08,62.19
2001,40,2001-02-09,62.75
2001,41,2001-02-10,63.08
2001,42,2001-02-11,62.06
2001,43,2001-02-12,58.41
2001,44,2001-02-13,64.83
2001,45,2001-02-14,65.3
2001,46,2001-02-15,62.52
2001,47,2001-02-16,62.57
2001,48,2001-02-17,65.33
2001,49,2001-02-18,64.06
2001,50,2001-02-19,63.24
2001,51,2001-02-20,60.08
2001,52,2001-02-21,58.0
2001,53,2001-02-22,63.3
2001,54,2001-02-23,59.46
2001,55,2001-02-24,62.3
2001,56,2001-02-25,61.69
2001,57,2001-02-26,67.15
2001,58,2001-02-27,63.24
2001,59,2001-02-28,60.84
2001,60,2001-03-01,66.6
2001,61,2001-03-02,64.04
2001,62,2001-03-03,61.61
2001,63,2001-03-04,62.11
2001,64,2001-03-05,63.26
2001,65,2001-03-06,64.24
2001,66,2001-03-07,63.98
2001,67,2001-03-08,63.93
2001,68,2001-03-09,61.7
2001,69,2001-03-10,64.87
2001,70,2001-03-11,65.05
2001,71,2001-03-12,60.81
2001,72,2001-03-13,58.0
2001,73,2001-03-14,60.32
2001,74,2001-03-15,61.53
2001,75,2001-03-16,66.55
2001,76,2001-03-17,58.0
2001,77,2001-03-18,61.73
2001,78,2001-03-19,62.91
2001,79,2001-03-20,59.71
2001,80,2001-03-21,62.49
2001,81,2001-03-22,64.56
2001,82,2001-03-23,61.25
2001,83,2001-03-24,61.61
2001,84,2001-03-25,60.78
2001,85,2001-03-26,58.0
2001,86,2001-03-27,64.4
2001,87,2001-03-28,61.28
2001,88,2001-03-29,64.92
2001,89,2001-03-30,60.48
2001,90,2001-03-31,62.31
2001,91,2001-04-01,65.97
2001,92,2001-04-02,62.88
2001,93,2001-04-03,63.76
2001,94,2001-04-04,66.36
2001,95,2001-04-05,59.14
2001,96,2001-04-06,58.0
2001,97,2001-04-07,59.33
2001,98,2001-04-08,63.76
2001,99,2001-04-09,58.0
2001,100,2001-04-10,58.55
2001,101,2001-04-11,62.02
2001,102,2001-04-12,61.94
2001,103,2001-04-13,65.11
2001,104,2001-04-14,61.89
2001,105,2001-04-15,62.96
2001,106,2001-04-16,61.03
2001,107,2001-04-17,60.26
2001,108,2001-04-18,59.33
2001,109,2001-04-19,60.4
2001,110,2001-04-20,58.92
2001,111,2001-04-21,62.3
2001,112,2001-04-22,58.81
2001,113,2001-04-23,66.8
2001,114,2001-04-24,62.83
2001,115,2001-04-25,63.43
2001,116,2001-04-26,61.0
2001,117,2001-04-27,60.79
2001,118,2001-04-28,58.0
2001,119,2001-04-29,60.01
2001,120,2001-04-30,60.24
2001,121,2001-05-01,64.73
2001,122,2001-05-02,60.68
2001,123,2001-05-03,58.0
2001,124,2001-05-04,58.0
2001,125,2001-05-05,59.96
2001,126,2001-05-06,63.82
2001,127,2001-05-07,58.95
2001,128,2001-05-08,59.72
2001,129,2001-05-09,63.49
2001,130,2001-05-10,58.0
2001,131,2001-05-11,63.27
2001,132,2001-05-12,68.31
2001,133,2001-05-13,66.41
2001,134,2001-05-14,63.66
2001,135,2001-05-15,60.65
2001,136,2001-05-16,64.46
2001,137,2001-05-17,59.97
2001,138,2001-05-18,61.31
2001,139,2001-05-19,61.23
2001,140,2001-05-20,59.57
2001,141,2001-05-21,60.38
2001,142,2001-05-22,59.49
2001,143,2001-05-23,62.94
2001,144,2001-05-24,61.28
2001,145,2001-05-25,63.11
2001,146,2001-05-26,62.22
2001,147,2001-05-27,64.2
2001,148,2001-05-28,64.12
2001,149,2001-05-29,63.18
2001,150,2001-05-30,64.5
2001,151,2001-05-31,61.15
2001,152,2001-06-01,60.01
2001,153,2001-06-02,58.23
2001,154,2001-06-03,58.0
2001,155,2001-06-04,59.54
2001,156,2001-06-05,59.43
2001,157,2001-06-06,61.01
2001,158,2001-06-07,61.59
2001,159,2001-06-08,63.92
2001,160,2001-06-09,63.79
2001,161,2001-06-10,64.04
2001,162,2001-06-11,58.0
2001,163,2001-06-12,61.73
2001,164,2001-06-13,63.0
2001,165,2001-06-14,63.0
2001,166,2001-06-15,63.38
2001,167,2001-06-16,68.44
2001,168,2001-06-17,58.0
2001,169,2001-06-18,62.3
2001,170,2001-06-19,62.22
2001,171,2001-06-20,58.72
2001,172,2001-06-21,58.51
2001,173,2001-06-22,59.88
2001,174,2001-06-23,66.1
2001,175,2001-06-24,62.17
2001,176,2001-06-25,63.13
2001,177,2001-06-26,66.43
2001,178,2001-06-27,64.39
2001,179,2001-06-28,61.5
2001,180,2001-06-29,62.27
2001,181,2001-06-30,61.73
2001,182,2001-07-01,62.78
2001,183,2001-07-02,61.37
2001,184,2001-07-03,66.43
2001,185,2001-07-04,64.57
2001,186,2001-07-05,58.45
2001,187,2001-07-06,60.92
2001,188,2001-07-07,63.71
2001,189,2001-07-08,58.64
2001,190,2001-07-09,58.56
2001,191,2001-07-10,59.55
2001,192,2001-07-11,69.35
2001,193,2001-07-12,64.17
2001,194,2001-07-13,62.66
2001,195,2001-07-14,58.56
2001,196,2001-07-15,63.05
2001,197,2001-07-16,61.32
2001,198,2001-07-17,58.0
2001,199,2001-07-18,60.01
2001,200,2001-07-19,63.15
2001,201,2001-07-20,65.3
2001,202,2001-07-21,64.87
2001,203,2001-07-22,63.84
2001,204,2001-07-23,61.15
2001,205,2001-07-24,58.0
2001,206,2001-07-25,58.0
2001,207,2001-07-26,62.89
2001,208,2001-07-27,60.4
2001,209,2001-07-28,61.07
2001,210,2001-07-29,63.87
2001,211,2001-07-30,59.83
2001,212,2001-07-31,61.81
2001,213,2001-08-01,62.75
2001,214,2001-08-02,58.0
2001,215,2001-08-03,62.14
2001,216,2001-08-04,61.87
2001,217,2001-08-05,61.84
2001,218,2001-08-06,60.73
2001,219,2001-08-07,61.36
2001,220,2001-08-08,62.53
2001,221,2001-08-09,68.69
2001,222,2001-08-10,66.55
2001,223,2001-08-11,63.99
2001,224,2001-08-12,63.51
2001,225,2001-08-13,62.52
2001,226,2001-08-14,60.68
2001,227,2001-08-15,63.26
2001,228,2001-08-16,64.21
2001,229,2001-08-17,63.49
2001,230,2001-08-18,61.03
2001,231,2001-08-19,59.79
2001,232,2001-08-20,62.13
2001,233,2001-08-21,65.56
2001,234,2001-08-22,64.81
2001,235,2001-08-23,67.75
2001,236,2001-08-24,65.94
2001,237,2001-08-25,61.95
2001,238,2001-08-26,62.89
2001,239,2001-08-27,62.91
2001,240,2001-08-28,63.79
2001,241,2001-08-29,63.79
2001,242,2001-08-30,63.33
2001,243,2001-08-31,63.3
2001,244,2001-09-01,59.3
2001,245,2001-09-02,60.21
2001,246,2001-09-03,66.77
2001,247,2001-09-04,62.72
2001,248,2001-09-05,63.32
2001,249,2001-09-06,67.23
2001,250,2001-09-07,65.34
2001,251,2001-09-08,60.6
2001,252,2001-09-09,60.16
2001,253,2001-09-10,61.04
2001,254,2001-09-11,63.88
2001,255,2001-09-12,59.85
2001,256,2001-09-13,63.26
2001,257,2001-09-14,65.89
2001,258,2001-09-15,63.21
2001,259,2001-09-16,58.0
2001,260,2001-09-17,59.27
2001,261,2001-09-18,64.72
2001,262,2001-09-19,63.29
2001,263,2001-09-20,60.51
2001,264,2001-09-21,63.4
2001,265,2001-09-22,69.21
2001,266,2001-09-23,64.65
2001,267,2001-09-24,62.6
2001,268,2001-09-25,62.66
2001,269,2001-09-26,58.0
2001,270,2001-09-27,61.04
2001,271,2001-09-28,60.7
2001,272,2001-09-29,63.85
2001,273,2001-09-30,59.77
2001,274,2001-10-01,58.0
2001,275,2001-10-02,60.15
2001,276,2001-10-03,62.74
2001,277,2001-10-04,62.74
2001,278,2001-10-05,67.46
2001,279,2001-10-06,65.0
2001,280,2001-10-07,59.99
2001,281,2001-10-08,58.0
2001,282,2001-10-09,61.94
2001,283,2001-10-10,65.64
2001,284,2001-10-11,64.76
2001,285,2001-10-12,65.23
2001,286,2001-10-13,62.02
2001,287,2001-10-14,64.28
2001,288,2001-10-15,66.58
2001,289,2001-10-16,64.21
2001,290,2001-10-17,63.93
2001,291,2001-10-18,63.44
2001,292,2001-10-19,60.84
2001,293,2001-10-20,63.38
2001,294,2001-10-21,64.72
2001,295,2001-10-22,63.57
2001,296,2001-10-23,60.19
2001,297,2001-10-24,63.0
2001,298,2001-10-25,61.11
2001,299,2001-10-26,66.79
2001,300,2001-10-27,65.85
2001,301,2001-10-28,63.3
2001,302,2001-10-29,58.36
2001,303,2001-10-30,61.32
2001,304,2001-10-31,64.67
2001,305,2001-11-01,62.77
2001,306,2001-11-02,63.99
2001,307,2001-11-03,62.3
2001,308,2001-11-04,58.91
2001,309,2001-11-05,62.16
2001,310,2001-11-06,66.41
2001,311,2001-11-07,63.85
2001,312,2001-11-08,66.03
2001,313,2001-11-09,61.48
2001,314,2001-11-10,63.76
2001,315,2001-11-11,60.85
2001,316,2001-11-12,60.38
2001,317,2001-11-13,63.27
2001,318,2001-11-14,62.5
2001,319,2001-11-15,61.29
2001,320,2001-11-16,58.25
2001,321,2001-11-17,58.83
2001,322,2001-11-18,58.39
2001,323,2001-11-19,60.93
2001,324,2001-11-20,63.95
2001,325,2001-11-21,67.67
2001,326,2001-11-22,64.98
2001,327,2001-11-23,61.7
2001,328,2001-11-24,60.78
2001,329,2001-11-25,65.08
2001,330,2001-11-26,62.02
2001,331,2001-11-27,63.44
2001,332,2001-11-28,62.61
2001,333,2001-11-29,61.92
2001,334,2001-11-30,58.3
2001,335,2001-12-01,60.78
2001,336,2001-12-02,62.39
2001,337,2001-12-03,61.7
2001,338,2001-12-04,59.22
2001,339,2001-12-05,58.92
2001,340,2001-12-06,61.31
2001,341,2001-12-07,61.14
2001,342,2001-12-08,58.69
2001,343,2001-12-09,60.56
2001,344,2001-12-10,58.15
2001,345,2001-12-11,59.74
2001,346,2001-12-12,59.86
2001,347,2001-12-13,58.94
2001,348,2001-12-14,60.56
2001,349,2001-12-15,61.36
2001,350,2001-12-16,64.15
2001,351,2001-12-17,59.0
2001,352,2001-12-18,61.51
2001,353,2001-12-19,63.66
2001,354,2001-12-20,61.54
2002,15,2002-01-15,64.37
2002,16,2002-01-16,62.3
2002,17,2002-01-17,64.59
2002,18,2002-01-18,64.75
2002,19,2002-01-19,65.09
2002,20,2002-01-20,66.65
2002,21,2002-01-21,63.49
2002,22,2002-01-22,61.51
2002,23,2002-01-23,60.96
2002,24,2002-01-24,64.1
2002,25,2002-01-25,62.08
2002,26,2002-01-26,65.23
2002,27,2002-01-27,66.58
2002,28,2002-01-28,63.63
2002,29,2002-01-29,65.77
2002,30,2002-01-30,67.04
2002,31,2002-01-31,64.42
2002,32,2002-02-01,66.18
2002,33,2002-02-02,58.78
2002,34,2002-02-03,60.84
2002,35,2002-02-04,62.39
2002,36,2002-02-05,66.05
2002,37,2002-02-06,67.82
2002,38,2002-02-07,64.06
2002,39,2002-02-08,62.85
2002,40,2002-02-09,64.76
2002,41,2002-02-10,63.74
2002,42,2002-02-11,63.84
2002,43,2002-02-12,62.16
2002,44,2002-02-13,65.67
2002,45,2002-02-14,65.89
2002,46,2002-02-15,62.2
2002,47,2002-02-16,58.0
2002,48,2002-02-17,69.44
2002,49,2002-02-18,66.22
2002,50,2002-02-19,65.25
2002,51,2002-02-20,61.54
2002,52,2002-02-21,60.04
2002,53,2002-02-22,60.89
2002,54,2002-02-23,63.0
2002,55,2002-02-24,60.63
2002,56,2002-02-25,66.88
2002,57,2002-02-26,62.8
2002,58,2002-02-27,67.16
2002,59,2002-02-28,61.81
2002,60,2002-03-01,62.39
2002,61,2002-03-02,64.17
2002,62,2002-03-03,64.23
2002,63,2002-03-04,64.39
2002,64,2002-03-05,66.57
2002,65,2002-03-06,66.46
2002,66,2002-03-07,64.53
2002,67,2002-03-08,63.38
2002,68,2002-03-09,62.44
2002,69,2002-03-10,67.23
2002,70,2002-03-11,64.03
2002,71,2002-03-12,66.32
2002,72,2002-03-13,65.85
2002,73,2002-03-14,58.0
2002,74,2002-03-15,62.24
2002,75,2002-03-16,65.39
2002,76,2002-03-17,67.21
2002,77,2002-03-18,65.2
2002,78,2002-03-19,65.69
2002,79,2002-03-20,65.01
2002,80,2002-03-21,64.45
2002,81,2002-03-22,67.35
2002,82,2002-03-23,64.65
2002,83,2002-03-24,63.24
2002,84,2002-03-25,64.37
2002,85,2002-03-26,67.4
2002,86,2002-03-27,66.76
2002,87,2002-03-28,65.53
2002,88,2002-03-29,66.1
2002,89,2002-03-30,67.16
2002,90,2002-03-31,63.81
2002,91,2002-04-01,65.17
2002,92,2002-04-02,65.64
2002,93,2002-04-03,64.2
2002,94,2002-04-04,61.58
2002,95,2002-04-05,68.67
2002,96,2002-04-06,68.34
2002,97,2002-04-07,62.66
2002,98,2002-04-08,58.0
2002,99,2002-04-09,63.15
2002,100,2002-04-10,65.75
2002,101,2002-04-11,64.61
2002,102,2002-04-12,63.87
2002,103,2002-04-13,64.7
2002,104,2002-04-14,66.38
2002,105,2002-04-15,60.32
2002,106,2002-04-16,58.99
2002,107,2002-04-17,60.18
2002,108,2002-04-18,64.95
2002,109,2002-04-19,66.73
2002,110,2002-04-20,62.49
2002,111,2002-04-21,63.33
2002,112,2002-04-22,65.33
2002,113,2002-04-23,60.32
2002,114,2002-04-24,64.97
2002,115,2002-04-25,66.8
2002,116,2002-04-26,64.94
2002,117,2002-04-27,65.19
2002,118,2002-04-28,64.09
2002,119,2002-04-29,63.43
2002,120,2002-04-30,65.72
2002,121,2002-05-01,63.96
2002,122,2002-05-02,68.55
2002,123,2002-05-03,67.89
2002,124,2002-05-04,62.02
2002,125,2002-05-05,64.81
2002,126,2002-05-06,65.14
2002,127,2002-05-07,60.93
2002,128,2002-05-08,66.22
2002,129,2002-05-09,65.55
2002,130,2002-05-10,63.35
2002,131,2002-05-11,64.06
2002,132,2002-05-12,63.59
2002,133,2002-05-13,67.49
2002,134,2002-05-14,66.54
2002,135,2002-05-15,63.9
2002,136,2002-05-16,63.32
2002,137,2002-05-17,63.77
2002,138,2002-05-18,62.83
2002,139,2002-05-19,65.52
2002,140,2002-05-20,63.21
2002,141,2002-05-21,66.22
2002,142,2002-05-22,63.62
2002,143,2002-05-23,60.87
2002,144,2002-05-24,66.05
2002,145,2002-05-25,64.68
2002,146,2002-05-26,58.47
2002,147,2002-05-27,61.11
2002,148,2002-05-28,64.04
2002,149,2002-05-29,63.98
2002,150,2002-05-30,64.92
2002,151,2002-05-31,62.35
2002,152,2002-06-01,65.59
2002,153,2002-06-02,66.1
2002,154,2002-06-03,60.79
2002,155,2002-06-04,66.63
2002,156,2002-06-05,65.8
2002,157,2002-06-06,64.18
2002,158,2002-06-07,63.71
2002,159,2002-06-08,66.57
2002,160,2002-06-09,65.81
2002,161,2002-06-10,69.39
2002,162,2002-06-11,66.55
2002,163,2002-06-12,65.0
2002,164,2002-06-13,61.69
2002,165,2002-06-14,58.03
2002,166,2002-06-15,61.84
2002,167,2002-06-16,62.38
2002,168,2002-06-17,61.29
2002,169,2002-06-18,62.82
2002,170,2002-06-19,64.48
2002,171,2002-06-20,67.86
2002,172,2002-06-21,69.96
2002,173,2002-06-22,65.45
2002,174,2002-06-23,63.88
2002,175,2002-06-24,65.69
2002,176,2002-06-25,65.49
2002,177,2002-06-26,64.35
2002,178,2002-06-27,64.59
2002,179,2002-06-28,61.84
2002,180,2002-06-29,63.68
2002,181,2002-06-30,66.84
2002,182,2002-07-01,64.28
2002,183,2002-07-02,60.27
2002,184,2002-07-03,62.75
2002,185,2002-07-04,63.3
2002,186,2002-07-05,62.13
2002,187,2002-07-06,63.57
2002,188,2002-07-07,63.98
2002,189,2002-07-08,62.99
2002,190,2002-07-09,65.8
2002,191,2002-07-10,65.28
2002,192,2002-07-11,59.82
2002,193,2002-07-12,62.0
2002,194,2002-07-13,63.51
2002,195,2002-07-14,63.19
2002,196,2002-07-15,63.71
2002,197,2002-07-16,66.63
2002,198,2002-07-17,64.06
2002,199,2002-07-18,65.31
2002,200,2002-07-19,64.84
2002,201,2002-07-20,65.49
2002,202,2002-07-21,64.35
2002,203,2002-07-22,64.65
2002,204,2002-07-23,62.44
2002,205,2002-07-24,61.7
2002,206,2002-07-25,62.25
