Date,Year,DayOfYear,Value
2000-06-26,2000,178,60.95
2000-06-27,2000,179,67.27
2000-06-28,2000,180,65.53
2000-06-29,2000,181,65.09
2000-06-30,2000,182,66.33
2000-07-01,2000,183,67.57
2000-07-02,2000,184,68.0
2000-07-03,2000,185,66.6
2000-07-04,2000,186,63.93
2000-07-05,2000,187,62.86
2000-07-06,2000,188,64.45
2000-07-07,2000,189,67.35
2000-07-08,2000,190,66.19
2000-07-09,2000,191,63.27
2000-07-10,2000,192,62.19
2000-07-11,2000,193,63.68
2000-07-12,2000,194,65.64
2000-07-13,2000,195,67.37
2000-07-14,2000,196,60.73
2000-07-15,2000,197,58.0
2000-07-16,2000,198,67.81
2000-07-17,2000,199,66.71
2000-07-18,2000,200,63.59
2000-07-19,2000,201,61.48
2000-07-20,2000,202,63.54
2000-07-21,2000,203,63.9
2000-07-22,2000,204,64.42
2000-07-23,2000,205,59.5
2000-07-24,2000,206,68.53
2000-07-25,2000,207,61.98
2000-07-26,2000,208,62.66
2000-07-27,2000,209,63.63
2000-07-28,2000,210,62.83
2000-07-29,2000,211,63.99
2000-07-30,2000,212,64.98
2000-07-31,2000,213,64.57
2000-08-01,2000,214,62.49
2000-08-02,2000,215,64.15
2000-08-03,2000,216,68.34
2000-08-04,2000,217,64.43
2000-08-05,2000,218,62.91
2000-08-06,2000,219,65.81
2000-08-07,2000,220,64.32
2000-08-08,2000,221,66.02
2000-08-09,2000,222,65.28
2000-08-10,2000,223,60.56
2000-08-11,2000,224,62.52
2000-08-12,2000,225,66.05
2000-08-13,2000,226,66.05
2000-08-14,2000,227,66.14
2000-08-15,2000,228,65.52
2000-08-16,2000,229,64.24
2000-08-17,2000,230,64.01
2000-08-18,2000,231,65.09
2000-08-19,2000,232,63.43
2000-08-20,2000,233,59.58
2000-08-21,2000,234,63.33
2000-08-22,2000,235,69.06
2000-08-23,2000,236,65.31
2000-08-24,2000,237,64.53
2000-08-25,2000,238,62.6
2000-08-26,2000,239,61.89
2000-08-27,2000,240,68.81
2000-08-28,2000,241,68.41
2000-08-29,2000,242,67.93
2000-08-30,2000,243,67.53
2000-08-31,2000,244,66.57
2000-09-01,2000,245,65.31
2000-09-02,2000,246,69.02
2000-09-03,2000,247,63.66
2000-09-04,2000,248,64.04
2000-09-05,2000,249,69.54
2000-09-06,2000,250,66.35
2000-09-07,2000,251,64.95
2000-09-08,2000,252,62.78
2000-09-09,2000,253,62.63
2000-09-10,2000,254,64.03
2000-09-11,2000,255,67.23
2000-09-12,2000,256,64.62
2000-09-13,2000,257,65.17
2000-09-14,2000,258,61.92
2000-09-15,2000,259,64.23
2000-09-16,2000,260,65.8
2000-09-17,2000,261,65.34
2000-09-18,2000,262,66.03
2000-09-19,2000,263,64.65
2000-09-20,2000,264,61.06
2000-09-21,2000,265,59.25
2000-09-22,2000,266,63.99
2000-09-23,2000,267,63.27
2000-09-24,2000,268,65.72
2000-09-25,2000,269,64.92
2000-09-26,2000,270,61.98
2000-09-27,2000,271,66.84
2000-09-28,2000,272,62.83
2000-09-29,2000,273,61.31
2000-09-30,2000,274,66.57
2000-10-01,2000,275,63.65
2000-10-02,2000,276,62.58
2000-10-03,2000,277,63.15
2000-10-04,2000,278,64.7
2000-10-05,2000,279,63.44
2000-10-06,2000,280,67.34
2000-10-07,2000,281,68.06
2000-10-08,2000,282,61.61
2000-10-09,2000,283,60.37
2000-10-10,2000,284,60.76
2000-10-11,2000,285,62.27
2000-10-12,2000,286,62.89
2000-10-13,2000,287,67.32
2000-10-14,2000,288,65.11
2000-10-15,2000,289,66.08
2000-10-16,2000,290,64.43
2000-10-17,2000,291,65.14
2000-10-18,2000,292,64.56
2000-10-19,2000,293,66.35
2000-10-20,2000,294,65.14
2000-10-21,2000,295,67.29
2000-10-22,2000,296,62.88
2000-10-23,2000,297,60.74
2000-10-24,2000,298,63.19
2000-10-25,2000,299,62.75
2000-10-26,2000,300,66.02
2000-10-27,2000,301,65.53
2000-10-28,2000,302,64.45
2000-10-29,2000,303,65.25
2000-10-30,2000,304,67.2
2000-10-31,2000,305,63.52
2000-11-01,2000,306,66.54
2000-11-02,2000,307,64.48
2000-11-03,2000,308,65.5
2000-11-04,2000,309,69.11
2000-11-05,2000,310,66.87
2000-11-06,2000,311,66.85
2000-11-07,2000,312,66.46
2000-11-08,2000,313,65.61
2000-11-09,2000,314,68.69
2000-11-10,2000,315,64.18
2000-11-11,2000,316,62.72
2000-11-12,2000,317,63.82
2000-11-13,2000,318,64.21
2000-11-14,2000,319,62.71
2000-11-15,2000,320,64.06
2000-11-16,2000,321,66.46
2000-11-17,2000,322,66.16
2000-11-18,2000,323,65.41
2000-11-19,2000,324,65.12
2000-11-20,2000,325,64.32
2000-11-21,2000,326,63.02
2000-11-22,2000,327,66.57
2000-11-23,2000,328,65.83
2000-11-24,2000,329,63.66
2000-11-25,2000,330,65.12
2000-11-26,2000,331,63.7
2000-11-27,2000,332,65.41
2000-11-28,2000,333,63.76
2000-11-29,2000,334,65.42
2000-11-30,2000,335,68.62
2000-12-01,2000,336,63.54
2000-12-02,2000,337,64.95
2000-12-03,2000,338,69.85
2000-12-04,2000,339,66.18
2000-12-05,2000,340,59.08
2000-12-06,2000,341,64.64
2000-12-07,2000,342,61.26
2000-12-08,2000,343,62.64
2000-12-09,2000,344,63.6
2000-12-10,2000,345,63.7
2000-12-11,2000,346,67.51
2000-12-12,2000,347,63.33
2000-12-13,2000,348,64.51
2000-12-14,2000,349,67.56
2000-12-15,2000,350,65.36
2000-12-16,2000,351,62.09
2000-12-17,2000,352,60.43
2000-12-18,2000,353,60.65
2000-12-19,2000,354,62.28
2000-12-20,2000,355,68.58
2001-01-15,2001,15,66.57
2001-01-16,2001,16,64.06
2001-01-17,2001,17,58.42
2001-01-18,2001,18,62.88
2001-01-19,2001,19,59.25
2001-01-20,2001,20,62.19
2001-01-21,2001,21,64.9
2001-01-22,2001,22,61.62
2001-01-23,2001,23,64.67
2001-01-24,2001,24,66.27
2001-01-25,2001,25,64.54
2001-01-26,2001,26,63.55
2001-01-27,2001,27,60.04
2001-01-28,2001,28,58.0
2001-01-29,2001,29,58.11
2001-01-30,2001,30,61.31
2001-01-31,2001,31,59.88
2001-02-01,2001,32,61.11
2001-02-02,2001,33,62.66
2001-02-03,2001,34,63.04
2001-02-04,2001,35,61.98
2001-02-05,2001,36,61.01
2001-02-06,2001,37,60.65
2001-02-07,2001,38,60.71
2001-02-08,2001,39,62.19
2001-02-09,2001,40,62.75
2001-02-10,2001,41,63.08
2001-02-11,2001,42,62.06
2001-02-12,2001,43,58.41
2001-02-13,2001,44,64.83
2001-02-14,2001,45,65.3
2001-02-15,2001,46,62.52
2001-02-16,2001,47,62.57
2001-02-17,2001,48,65.33
2001-02-18,2001,49,64.06
2001-02-19,2001,50,63.24
2001-02-20,2001,51,60.08
2001-02-21,2001,52,58.0
2001-02-22,2001,53,63.3
2001-02-23,2001,54,59.46
2001-02-24,2001,55,62.3
2001-02-25,2001,56,61.69
2001-02-26,2001,57,67.15
2001-02-27,2001,58,63.24
2001-02-28,2001,59,60.84
2001-03-01,2001,60,66.6
2001-03-02,2001,61,64.04
2001-03-03,2001,62,61.61
2001-03-04,2001,63,62.11
2001-03-05,2001,64,63.26
2001-03-06,2001,65,64.24
2001-03-07,2001,66,63.98
2001-03-08,2001,67,63.93
2001-03-09,2001,68,61.7
2001-03-10,2001,69,64.87
2001-03-11,2001,70,65.05
2001-03-12,2001,71,60.81
2001-03-13,2001,72,58.0
2001-03-14,2001,73,60.32
2001-03-15,2001,74,61.53
2001-03-16,2001,75,66.55
2001-03-17,2001,76,58.0
2001-03-18,2001,77,61.73
2001-03-19,2001,78,62.91
2001-03-20,2001,79,59.71
2001-03-21,2001,80,62.49
2001-03-22,2001,81,64.56
2001-03-23,2001,82,61.25
2001-03-24,2001,83,61.61
2001-03-25,2001,84,60.78
2001-03-26,2001,85,58.0
2001-03-27,2001,86,64.4
2001-03-28,2001,87,61.28
2001-03-29,2001,88,64.92
2001-03-30,2001,89,60.48
2001-03-31,2001,90,62.31
2001-04-01,2001,91,65.97
2001-04-02,2001,92,62.88
2001-04-03,2001,93,63.76
2001-04-04,2001,94,66.36
2001-04-05,2001,95,59.14
2001-04-06,2001,96,58.0
2001-04-07,2001,97,59.33
2001-04-08,2001,98,63.76
2001-04-09,2001,99,58.0
2001-04-10,2001,100,58.55
2001-04-11,2001,101,62.02
2001-04-12,2001,102,61.94
2001-04-13,2001,103,65.11
2001-04-14,2001,104,61.89
2001-04-15,2001,105,62.96
2001-04-16,2001,106,61.03
2001-04-17,2001,107,60.26
2001-04-18,2001,108,59.33
2001-04-19,2001,109,60.4
2001-04-20,2001,110,58.92
2001-04-21,2001,111,62.3
2001-04-22,2001,112,58.81
2001-04-23,2001,113,66.8
2001-04-24,2001,114,62.83
2001-04-25,2001,115,63.43
2001-04-26,2001,116,61.0
2001-04-27,2001,117,60.79
2001-04-28,2001,118,58.0
2001-04-29,2001,119,60.01
2001-04-30,2001,120,60.24
2001-05-01,2001,121,64.73
2001-05-02,2001,122,60.68
2001-05-03,2001,123,58.0
2001-05-04,2001,124,58.0
2001-05-05,2001,125,59.96
2001-05-06,2001,126,63.82
2001-05-07,2001,127,58.95
2001-05-08,2001,128,59.72
2001-05-09,2001,129,63.49
2001-05-10,2001,130,58.0
2001-05-11,2001,131,63.27
2001-05-12,2001,132,68.31
2001-05-13,2001,133,66.41
2001-05-14,2001,134,63.66
2001-05-15,2001,135,60.65
2001-05-16,2001,136,64.46
2001-05-17,2001,137,59.97
2001-05-18,2001,138,61.31
2001-05-19,2001,139,61.23
2001-05-20,2001,140,59.57
2001-05-21,2001,141,60.38
2001-05-22,2001,142,59.49
2001-05-23,2001,143,62.94
2001-05-24,2001,144,61.28
2001-05-25,2001,145,63.11
2001-05-26,2001,146,62.22
2001-05-27,2001,147,64.2
2001-05-28,2001,148,64.12
2001-05-29,2001,149,63.18
2001-05-30,2001,150,64.5
2001-05-31,2001,151,61.15
2001-06-01,2001,152,60.01
2001-06-02,2001,153,58.23
2001-06-03,2001,154,58.0
2001-06-04,2001,155,59.54
2001-06-05,2001,156,59.43
2001-06-06,2001,157,61.01
2001-06-07,2001,158,61.59
2001-06-08,2001,159,63.92
2001-06-09,2001,160,63.79
2001-06-10,2001,161,64.04
2001-06-11,2001,162,58.0
2001-06-12,2001,163,61.73
2001-06-13,2001,164,63.0
2001-06-14,2001,165,63.0
2001-06-15,2001,166,63.38
2001-06-16,2001,167,68.44
2001-06-17,2001,168,58.0
2001-06-18,2001,169,62.3
2001-06-19,2001,170,62.22
2001-06-20,2001,171,58.72
2001-06-21,2001,172,58.51
2001-06-22,2001,173,59.88
2001-06-23,2001,174,66.1
2001-06-24,2001,175,62.17
2001-06-25,2001,176,63.13
2001-06-26,2001,177,66.43
2001-06-27,2001,178,64.39
2001-06-28,2001,179,61.5
2001-06-29,2001,180,62.27
2001-06-30,2001,181,61.73
2001-07-01,2001,182,62.78
2001-07-02,2001,183,61.37
2001-07-03,2001,184,66.43
2001-07-04,2001,185,64.57
2001-07-05,2001,186,58.45
2001-07-06,2001,187,60.92
2001-07-07,2001,188,63.71
2001-07-08,2001,189,58.64
2001-07-09,2001,190,58.56
2001-07-10,2001,191,59.55
2001-07-11,2001,192,69.35
2001-07-12,2001,193,64.17
2001-07-13,2001,194,62.66
2001-07-14,2001,195,58.56
2001-07-15,2001,196,63.05
2001-07-16,2001,197,61.32
2001-07-17,2001,198,58.0
2001-07-18,2001,199,60.01
2001-07-19,2001,200,63.15
2001-07-20,2001,201,65.3
2001-07-21,2001,202,64.87
2001-07-22,2001,203,63.84
2001-07-23,2001,204,61.15
2001-07-24,2001,205,58.0
2001-07-25,2001,206,58.0
2001-07-26,2001,207,62.89
2001-07-27,2001,208,60.4
2001-07-28,2001,209,61.07
2001-07-29,2001,210,63.87
2001-07-30,2001,211,59.83
2001-07-31,2001,212,61.81
2001-08-01,2001,213,62.75
2001-08-02,2001,214,58.0
2001-08-03,2001,215,62.14
2001-08-04,2001,216,61.87
2001-08-05,2001,217,61.84
2001-08-06,2001,218,60.73
2001-08-07,2001,219,61.36
2001-08-08,2001,220,62.53
2001-08-09,2001,221,68.69
2001-08-10,2001,222,66.55
2001-08-11,2001,223,63.99
2001-08-12,2001,224,63.51
2001-08-13,2001,225,62.52
2001-08-14,2001,226,60.68
2001-08-15,2001,227,63.26
2001-08-16,2001,228,64.21
2001-08-17,2001,229,63.49
2001-08-18,2001,230,61.03
2001-08-19,2001,231,59.79
2001-08-20,2001,232,62.13
2001-08-21,2001,233,65.56
2001-08-22,2001,234,64.81
2001-08-23,2001,235,67.75
2001-08-24,2001,236,65.94
2001-08-25,2001,237,61.95
2001-08-26,2001,238,62.89
2001-08-27,2001,239,62.91
2001-08-28,2001,240,63.79
2001-08-29,2001,241,63.79
2001-08-30,2001,242,63.33
2001-08-31,2001,243,63.3
2001-09-01,2001,244,59.3
2001-09-02,2001,245,60.21
2001-09-03,2001,246,66.77
2001-09-04,2001,247,62.72
2001-09-05,2001,248,63.32
2001-09-06,2001,249,67.23
2001-09-07,2001,250,65.34
2001-09-08,2001,251,60.6
2001-09-09,2001,252,60.16
2001-09-10,2001,253,61.04
2001-09-11,2001,254,63.88
2001-09-12,2001,255,59.85
2001-09-13,2001,256,63.26
2001-09-14,2001,257,65.89
2001-09-15,2001,258,63.21
2001-09-16,2001,259,58.0
2001-09-17,2001,260,59.27
2001-09-18,2001,261,64.72
2001-09-19,2001,262,63.29
2001-09-20,2001,263,60.51
2001-09-21,2001,264,63.4
2001-09-22,2001,265,69.21
2001-09-23,2001,266,64.65
2001-09-24,2001,267,62.6
2001-09-25,2001,268,62.66
2001-09-26,2001,269,58.0
2001-09-27,2001,270,61.04
2001-09-28,2001,271,60.7
2001-09-29,2001,272,63.85
2001-09-30,2001,273,59.77
2001-10-01,2001,274,58.0
2001-10-02,2001,275,60.15
2001-10-03,2001,276,62.74
2001-10-04,2001,277,62.74
2001-10-05,2001,278,67.46
2001-10-06,2001,279,65.0
2001-10-07,2001,280,59.99
2001-10-08,2001,281,58.0
2001-10-09,2001,282,61.94
2001-10-10,2001,283,65.64
2001-10-11,2001,284,64.76
2001-10-12,2001,285,65.23
2001-10-13,2001,286,62.02
2001-10-14,2001,287,64.28
2001-10-15,2001,288,66.58
2001-10-16,2001,289,64.21
2001-10-17,2001,290,63.93
2001-10-18,2001,291,63.44
2001-10-19,2001,292,60.84
2001-10-20,2001,293,63.38
2001-10-21,2001,294,64.72
2001-10-22,2001,295,63.57
2001-10-23,2001,296,60.19
2001-10-24,2001,297,63.0
2001-10-25,2001,298,61.11
2001-10-26,2001,299,66.79
2001-10-27,2001,300,65.85
2001-10-28,2001,301,63.3
2001-10-29,2001,302,58.36
2001-10-30,2001,303,61.32
2001-10-31,2001,304,64.67
2001-11-01,2001,305,62.77
2001-11-02,2001,306,63.99
2001-11-03,2001,307,62.3
2001-11-04,2001,308,58.91
2001-11-05,2001,309,62.16
2001-11-06,2001,310,66.41
2001-11-07,2001,311,63.85
2001-11-08,2001,312,66.03
2001-11-09,2001,313,61.48
2001-11-10,2001,314,63.76
2001-11-11,2001,315,60.85
2001-11-12,2001,316,60.38
2001-11-13,2001,317,63.27
2001-11-14,2001,318,62.5
2001-11-15,2001,319,61.29
2001-11-16,2001,320,58.25
2001-11-17,2001,321,58.83
2001-11-18,2001,322,58.39
2001-11-19,2001,323,60.93
2001-11-20,2001,324,63.95
2001-11-21,2001,325,67.67
2001-11-22,2001,326,64.98
2001-11-23,2001,327,61.7
2001-11-24,2001,328,60.78
2001-11-25,2001,329,65.08
2001-11-26,2001,330,62.02
2001-11-27,2001,331,63.44
2001-11-28,2001,332,62.61
2001-11-29,2001,333,61.92
2001-11-30,2001,334,58.3
2001-12-01,2001,335,60.78
2001-12-02,2001,336,62.39
2001-12-03,2001,337,61.7
2001-12-04,2001,338,59.22
2001-12-05,2001,339,58.92
2001-12-06,2001,340,61.31
2001-12-07,2001,341,61.14
2001-12-08,2001,342,58.69
2001-12-09,2001,343,60.56
2001-12-10,2001,344,58.15
2001-12-11,2001,345,59.74
2001-12-12,2001,346,59.86
2001-12-13,2001,347,58.94
2001-12-14,2001,348,60.56
2001-12-15,2001,349,61.36
2001-12-16,2001,350,64.15
2001-12-17,2001,351,59.0
2001-12-18,2001,352,61.51
2001-12-19,2001,353,63.66
2001-12-20,2001,354,61.54
2002-01-15,2002,15,64.37
2002-01-16,2002,16,62.3
2002-01-17,2002,17,64.59
2002-01-18,2002,18,64.75
2002-01-19,2002,19,65.09
2002-01-20,2002,20,66.65
2002-01-21,2002,21,63.49
2002-01-22,2002,22,61.51
2002-01-23,2002,23,60.96
2002-01-24,2002,24,64.1
2002-01-25,2002,25,62.08
2002-01-26,2002,26,65.23
2002-01-27,2002,27,66.58
2002-01-28,2002,28,63.63
2002-01-29,2002,29,65.77
2002-01-30,2002,30,67.04
2002-01-31,2002,31,64.42
2002-02-01,2002,32,66.18
2002-02-02,2002,33,58.78
2002-02-03,2002,34,60.84
2002-02-04,2002,35,62.39
2002-02-05,2002,36,66.05
2002-02-06,2002,37,67.82
2002-02-07,2002,38,64.06
2002-02-08,2002,39,62.85
2002-02-09,2002,40,64.76
2002-02-10,2002,41,63.74
2002-02-11,2002,42,63.84
2002-02-12,2002,43,62.16
2002-02-13,2002,44,65.67
2002-02-14,2002,45,65.89
2002-02-15,2002,46,62.2
2002-02-16,2002,47,58.0
2002-02-17,2002,48,69.44
2002-02-18,2002,49,66.22
2002-02-19,2002,50,65.25
2002-02-20,2002,51,61.54
2002-02-21,2002,52,60.04
2002-02-22,2002,53,60.89
2002-02-23,2002,54,63.0
2002-02-24,2002,55,60.63
2002-02-25,2002,56,66.88
2002-02-26,2002,57,62.8
2002-02-27,2002,58,67.16
2002-02-28,2002,59,61.81
2002-03-01,2002,60,62.39
2002-03-02,2002,61,64.17
2002-03-03,2002,62,64.23
2002-03-04,2002,63,64.39
2002-03-05,2002,64,66.57
2002-03-06,2002,65,66.46
2002-03-07,2002,66,64.53
2002-03-08,2002,67,63.38
2002-03-09,2002,68,62.44
2002-03-10,2002,69,67.23
2002-03-11,2002,70,64.03
2002-03-12,2002,71,66.32
2002-03-13,2002,72,65.85
2002-03-14,2002,73,58.0
2002-03-15,2002,74,62.24
2002-03-16,2002,75,65.39
2002-03-17,2002,76,67.21
2002-03-18,2002,77,65.2
2002-03-19,2002,78,65.69
2002-03-20,2002,79,65.01
2002-03-21,2002,80,64.45
2002-03-22,2002,81,67.35
2002-03-23,2002,82,64.65
2002-03-24,2002,83,63.24
2002-03-25,2002,84,64.37
2002-03-26,2002,85,67.4
2002-03-27,2002,86,66.76
2002-03-28,2002,87,65.53
2002-03-29,2002,88,66.1
2002-03-30,2002,89,67.16
2002-03-31,2002,90,63.81
2002-04-01,2002,91,65.17
2002-04-02,2002,92,65.64
2002-04-03,2002,93,64.2
2002-04-04,2002,94,61.58
2002-04-05,2002,95,68.67
2002-04-06,2002,96,68.34
2002-04-07,2002,97,62.66
2002-04-08,2002,98,58.0
2002-04-09,2002,99,63.15
2002-04-10,2002,100,65.75
2002-04-11,2002,101,64.61
2002-04-12,2002,102,63.87
2002-04-13,2002,103,64.7
2002-04-14,2002,104,66.38
2002-04-15,2002,105,60.32
2002-04-16,2002,106,58.99
2002-04-17,2002,107,60.18
2002-04-18,2002,108,64.95
2002-04-19,2002,109,66.73
2002-04-20,2002,110,62.49
2002-04-21,2002,111,63.33
2002-04-22,2002,112,65.33
2002-04-23,2002,113,60.32
2002-04-24,2002,114,64.97
2002-04-25,2002,115,66.8
2002-04-26,2002,116,64.94
2002-04-27,2002,117,65.19
2002-04-28,2002,118,64.09
2002-04-29,2002,119,63.43
2002-04-30,2002,120,65.72
2002-05-01,2002,121,63.96
2002-05-02,2002,122,68.55
2002-05-03,2002,123,67.89
2002-05-04,2002,124,62.02
2002-05-05,2002,125,64.81
2002-05-06,2002,126,65.14
2002-05-07,2002,127,60.93
2002-05-08,2002,128,66.22
2002-05-09,2002,129,65.55
2002-05-10,2002,130,63.35
2002-05-11,2002,131,64.06
2002-05-12,2002,132,63.59
2002-05-13,2002,133,67.49
2002-05-14,2002,134,66.54
2002-05-15,2002,135,63.9
2002-05-16,2002,136,63.32
2002-05-17,2002,137,63.77
2002-05-18,2002,138,62.83
2002-05-19,2002,139,65.52
2002-05-20,2002,140,63.21
2002-05-21,2002,141,66.22
2002-05-22,2002,142,63.62
2002-05-23,2002,143,60.87
2002-05-24,2002,144,66.05
2002-05-25,2002,145,64.68
2002-05-26,2002,146,58.47
2002-05-27,2002,147,61.11
2002-05-28,2002,148,64.04
2002-05-29,2002,149,63.98
2002-05-30,2002,150,64.92
2002-05-31,2002,151,62.35
2002-06-01,2002,152,65.59
2002-06-02,2002,153,66.1
2002-06-03,2002,154,60.79
2002-06-04,2002,155,66.63
2002-06-05,2002,156,65.8
2002-06-06,2002,157,64.18
2002-06-07,2002,158,63.71
2002-06-08,2002,159,66.57
2002-06-09,2002,160,65.81
2002-06-10,2002,161,69.39
2002-06-11,2002,162,66.55
2002-06-12,2002,163,65.0
2002-06-13,2002,164,61.69
2002-06-14,2002,165,58.03
2002-06-15,2002,166,61.84
2002-06-16,2002,167,62.38
2002-06-17,2002,168,61.29
2002-06-18,2002,169,62.82
2002-06-19,2002,170,64.48
2002-06-20,2002,171,67.86
2002-06-21,2002,172,69.96
2002-06-22,2002,173,65.45
2002-06-23,2002,174,63.88
2002-06-24,2002,175,65.69
2002-06-25,2002,176,65.49
2002-06-26,2002,177,64.35
2002-06-27,2002,178,64.59
2002-06-28,2002,179,61.84
2002-06-29,2002,180,63.68
2002-06-30,2002,181,66.84
2002-07-01,2002,182,64.28
2002-07-02,2002,183,60.27
2002-07-03,2002,184,62.75
2002-07-04,2002,185,63.3
2002-07-05,2002,186,62.13
2002-07-06,2002,187,63.57
2002-07-07,2002,188,63.98
2002-07-08,2002,189,62.99
2002-07-09,2002,190,65.8
2002-07-10,2002,191,65.28
2002-07-11,2002,192,59.82
2002-07-12,2002,193,62.0
2002-07-13,2002,194,63.51
2002-07-14,2002,195,63.19
2002-07-15,2002,196,63.71
2002-07-16,2002,197,66.63
2002-07-17,2002,198,64.06
2002-07-18,2002,199,65.31
2002-07-19,2002,200,64.84
2002-07-20,2002,201,65.49
2002-07-21,2002,202,64.35
2002-07-22,2002,203,64.65
2002-07-23,2002,204,62.44
2002-07-24,2002,205,61.7
